0.000,0.000,49.187,0.000,36.723,0.000,12.571,0.025,0.170,0.000,6.603,0.000,1.327,0.025,106.582

lap,curlap_birth,alllaps_birth,curlap_delete,alllaps_delete,curlap_global,alllaps_global,curlap_io,alllaps_io,curlap_local,alllaps_local,curlap_merge,alllaps_merge,curlap_total,alllaps_total
1.000,0.257,49.444,0.001,36.724,0.564,13.135,0.037,0.207,0.386,6.989,0.001,1.328,1.245,107.828

2.000,0.256,49.700,0.001,36.725,1.062,14.197,0.010,0.217,0.338,7.328,0.001,1.329,1.669,109.497

3.000,0.244,49.944,0.000,36.725,0.663,14.861,0.000,0.217,0.386,7.714,0.001,1.330,1.294,110.791

4.000,0.414,50.358,4.401,41.127,0.519,15.379,0.008,0.225,0.376,8.090,0.518,1.848,6.236,117.027

5.000,0.374,50.733,3.727,44.853,0.518,15.897,0.012,0.237,0.350,8.440,0.678,2.526,5.660,122.687

6.000,0.387,51.119,4.627,49.480,0.552,16.449,0.000,0.237,0.371,8.811,0.460,2.986,6.396,129.083

7.000,0.372,51.492,3.894,53.374,0.498,16.947,0.000,0.237,0.373,9.184,0.286,3.272,5.423,134.505

8.000,0.404,51.895,3.552,56.925,0.510,17.457,0.008,0.245,0.371,9.554,0.518,3.790,5.362,139.868

9.000,0.406,52.301,3.782,60.707,0.547,18.004,0.000,0.245,0.311,9.865,0.366,4.156,5.412,145.280

10.000,0.382,52.683,3.990,64.697,0.681,18.685,0.009,0.254,0.409,10.274,0.228,4.384,5.699,150.978

11.000,0.445,53.128,4.162,68.859,0.720,19.405,0.001,0.255,0.397,10.672,0.308,4.692,6.033,157.011

12.000,0.414,53.542,4.593,73.452,0.509,19.914,0.000,0.255,0.391,11.063,0.066,4.758,5.973,162.984

13.000,0.303,53.845,3.630,77.081,0.523,20.437,0.001,0.256,0.342,11.404,0.380,5.138,5.178,168.162

14.000,0.352,54.197,3.900,80.981,0.439,20.875,0.000,0.256,0.296,11.700,0.211,5.348,5.197,173.359

15.000,0.340,54.537,3.476,84.458,0.673,21.548,0.010,0.266,0.402,12.102,0.168,5.516,5.069,178.427

16.000,0.400,54.936,4.321,88.779,0.579,22.128,0.001,0.267,0.344,12.446,0.055,5.571,5.700,184.127

17.000,0.383,55.319,3.550,92.329,0.593,22.720,0.000,0.267,0.346,12.792,0.173,5.744,5.045,189.172

18.000,0.350,55.669,3.629,95.958,0.578,23.298,0.000,0.267,0.277,13.069,0.001,5.745,4.835,194.007

19.000,0.352,56.022,3.350,99.308,0.496,23.794,0.000,0.267,0.307,13.376,0.376,6.121,4.881,198.888

20.000,0.383,56.404,3.948,103.256,0.557,24.352,0.010,0.277,0.321,13.697,0.186,6.307,5.405,204.293

21.000,0.345,56.750,3.324,106.580,0.454,24.806,0.000,0.277,0.317,14.014,0.197,6.503,4.638,208.930

22.000,0.406,57.156,4.554,111.134,0.665,25.471,0.000,0.277,0.369,14.383,0.068,6.571,6.062,214.992

23.000,0.335,57.490,4.066,115.200,0.559,26.030,0.000,0.277,0.322,14.705,0.178,6.749,5.459,220.452

24.000,0.340,57.830,3.954,119.154,0.430,26.460,0.001,0.278,0.302,15.007,0.001,6.750,5.027,225.479

25.000,0.358,58.188,4.168,123.322,0.512,26.972,0.012,0.291,0.320,15.327,0.372,7.122,5.742,231.221

26.000,0.369,58.557,4.018,127.340,0.555,27.527,0.000,0.291,0.332,15.659,0.226,7.348,5.500,236.721

27.000,0.352,58.908,3.686,131.027,0.595,28.121,0.000,0.291,0.360,16.019,0.127,7.475,5.119,241.840

28.000,0.408,59.317,3.894,134.921,0.568,28.689,0.000,0.291,0.331,16.349,0.068,7.543,5.270,247.110

29.000,0.374,59.691,4.104,139.024,0.602,29.292,0.000,0.291,0.345,16.694,0.182,7.725,5.607,252.717

30.000,0.344,60.035,3.445,142.469,0.491,29.783,0.010,0.301,0.272,16.967,0.001,7.726,4.563,257.281

31.000,0.327,60.362,3.412,145.881,0.589,30.372,0.000,0.301,0.307,17.274,0.378,8.104,5.013,262.293

32.000,0.475,60.837,3.685,149.566,0.553,30.925,0.000,0.301,0.340,17.613,0.255,8.358,5.307,267.600

33.000,0.397,61.235,4.023,153.589,0.584,31.509,0.000,0.301,0.391,18.004,0.125,8.483,5.520,273.120

34.000,0.387,61.621,4.305,157.893,0.593,32.102,0.000,0.301,0.328,18.332,0.041,8.524,5.654,278.774

35.000,0.402,62.024,5.266,163.160,0.683,32.784,0.009,0.310,0.321,18.653,0.167,8.691,6.848,285.622

36.000,0.475,62.499,4.517,167.677,0.754,33.538,0.000,0.310,0.421,19.075,0.002,8.693,6.170,291.792

