0.000,0.000,8.582,0.000,0.111,0.000,8.693

lap,curlap_eval,alllaps_eval,curlap_plan,alllaps_plan,curlap_total,alllaps_total
1.000,0.000,8.582,0.001,0.112,0.001,8.694

2.000,0.000,8.582,0.001,0.113,0.001,8.695

3.000,0.000,8.582,0.001,0.114,0.001,8.696

4.000,0.538,9.120,0.005,0.119,0.543,9.239

5.000,0.599,9.719,0.003,0.122,0.602,9.841

6.000,0.478,10.197,0.002,0.124,0.480,10.321

7.000,0.593,10.790,0.003,0.127,0.596,10.917

8.000,0.383,11.173,0.002,0.129,0.385,11.302

9.000,0.339,11.512,0.002,0.131,0.341,11.643

10.000,0.396,11.907,0.002,0.133,0.398,12.040

11.000,0.516,12.423,0.010,0.143,0.525,12.566

12.000,0.374,12.797,0.002,0.145,0.376,12.942

13.000,0.226,13.023,0.002,0.147,0.228,13.170

14.000,0.303,13.325,0.002,0.149,0.305,13.474

15.000,0.205,13.530,0.001,0.150,0.206,13.680

16.000,0.552,14.082,0.002,0.152,0.554,14.234

17.000,0.584,14.666,0.003,0.155,0.587,14.821

18.000,0.285,14.951,0.001,0.156,0.286,15.107

19.000,0.269,15.220,0.002,0.158,0.271,15.378

20.000,0.367,15.587,0.003,0.161,0.370,15.748

21.000,0.435,16.023,0.003,0.164,0.438,16.186

22.000,0.210,16.233,0.006,0.170,0.216,16.403

23.000,0.493,16.725,0.003,0.173,0.496,16.898

24.000,0.332,17.058,0.003,0.176,0.335,17.234

25.000,0.465,17.523,0.003,0.179,0.468,17.702

26.000,0.284,17.807,0.006,0.185,0.290,17.992

27.000,0.569,18.376,0.005,0.190,0.574,18.566

28.000,0.291,18.667,0.002,0.192,0.293,18.859

29.000,0.617,19.285,0.004,0.196,0.621,19.481

30.000,0.318,19.603,0.001,0.197,0.319,19.800

31.000,0.200,19.803,0.002,0.199,0.202,20.002

32.000,0.259,20.062,0.002,0.201,0.261,20.263

33.000,0.198,20.261,0.001,0.202,0.199,20.463

34.000,0.370,20.631,0.002,0.204,0.372,20.835

35.000,0.479,21.110,0.003,0.207,0.482,21.317

36.000,0.235,21.345,0.006,0.213,0.241,21.558

37.000,0.100,21.445,0.002,0.215,0.102,21.660

38.000,0.351,21.796,0.005,0.220,0.356,22.016

39.000,0.129,21.925,0.001,0.221,0.130,22.146

40.000,0.341,22.266,0.005,0.227,0.346,22.492

41.000,0.497,22.763,0.003,0.229,0.500,22.992

42.000,0.234,22.997,0.002,0.232,0.237,23.229

43.000,0.104,23.101,0.002,0.234,0.106,23.335

44.000,0.411,23.512,0.003,0.237,0.414,23.749

45.000,0.114,23.627,0.001,0.238,0.115,23.864

46.000,0.335,23.962,0.002,0.240,0.337,24.201

47.000,0.389,24.351,0.002,0.242,0.391,24.592

48.000,0.170,24.521,0.001,0.243,0.171,24.763

49.000,0.023,24.544,0.001,0.244,0.024,24.787

50.000,0.475,25.019,0.002,0.246,0.477,25.264

51.000,0.096,25.114,0.001,0.247,0.097,25.361

52.000,0.389,25.503,0.002,0.249,0.391,25.752

53.000,0.349,25.852,0.002,0.251,0.351,26.103

54.000,0.183,26.036,0.002,0.253,0.185,26.288

55.000,0.030,26.065,0.003,0.256,0.033,26.321

56.000,0.347,26.413,0.002,0.258,0.349,26.670

57.000,0.218,26.630,0.002,0.260,0.220,26.890

58.000,0.392,27.022,0.002,0.262,0.394,27.284

59.000,0.302,27.325,0.002,0.264,0.304,27.588

60.000,0.139,27.463,0.002,0.266,0.141,27.729

61.000,0.000,27.463,0.002,0.268,0.002,27.731

62.000,0.358,27.822,0.002,0.270,0.360,28.091

63.000,0.308,28.129,0.002,0.272,0.310,28.401

64.000,0.232,28.362,0.002,0.274,0.234,28.635

65.000,0.229,28.591,0.002,0.276,0.231,28.866

66.000,0.219,28.810,0.001,0.277,0.221,29.087

67.000,0.072,28.882,0.002,0.279,0.074,29.161

68.000,0.305,29.187,0.002,0.281,0.307,29.468

69.000,0.165,29.353,0.001,0.282,0.166,29.634

70.000,0.235,29.588,0.002,0.284,0.237,29.872

71.000,0.275,29.863,0.002,0.286,0.277,30.149

72.000,0.217,30.080,0.001,0.287,0.218,30.367

73.000,0.405,30.485,0.002,0.289,0.407,30.774

74.000,0.368,30.853,0.002,0.291,0.370,31.144

75.000,0.478,31.331,0.002,0.293,0.480,31.624

76.000,0.414,31.746,0.002,0.295,0.416,32.040

77.000,0.341,32.086,0.002,0.297,0.343,32.383

78.000,0.534,32.621,0.003,0.300,0.537,32.920

79.000,0.269,32.889,0.002,0.302,0.271,33.191

80.000,0.280,33.170,0.001,0.303,0.281,33.472

81.000,0.132,33.302,0.001,0.304,0.133,33.605

82.000,0.278,33.579,0.003,0.307,0.281,33.886

83.000,0.192,33.772,0.001,0.308,0.194,34.080

84.000,0.404,34.176,0.003,0.311,0.407,34.487

85.000,0.043,34.219,0.000,0.311,0.043,34.530

86.000,0.274,34.492,0.002,0.313,0.276,34.805

87.000,0.149,34.642,0.001,0.314,0.150,34.956

88.000,0.267,34.909,0.003,0.317,0.270,35.226

89.000,0.215,35.124,0.001,0.318,0.216,35.442

90.000,0.422,35.546,0.002,0.320,0.424,35.867

91.000,0.044,35.590,0.001,0.321,0.045,35.912

92.000,0.231,35.822,0.002,0.323,0.233,36.145

93.000,0.127,35.949,0.001,0.324,0.128,36.274

94.000,0.284,36.233,0.002,0.326,0.286,36.560

95.000,0.179,36.412,0.002,0.328,0.181,36.741

96.000,0.328,36.740,0.002,0.330,0.330,37.071

97.000,0.044,36.785,0.001,0.331,0.045,37.116

98.000,0.285,37.070,0.001,0.332,0.286,37.402

99.000,0.131,37.200,0.001,0.333,0.132,37.534

