0.000,0.000,0.046,0.000,32.797,0.000,0.282,0.000,0.253,0.000,0.160,0.000,33.538

lap,curlap_alloc,alllaps_alloc,curlap_ev,alllaps_ev,curlap_fastfwdSS,alllaps_fastfwdSS,curlap_increment,alllaps_increment,curlap_obs,alllaps_obs,curlap_total,alllaps_total
1.000,0.002,0.048,0.600,33.397,0.000,0.282,0.001,0.254,0.001,0.161,0.604,34.142

2.000,0.000,0.048,0.570,33.967,0.009,0.291,0.001,0.255,0.004,0.165,0.584,34.726

3.000,0.001,0.049,0.654,34.621,0.006,0.297,0.002,0.257,0.002,0.167,0.665,35.391

4.000,0.000,0.049,0.865,35.486,0.003,0.300,0.008,0.265,0.002,0.169,0.878,36.269

5.000,0.001,0.050,0.639,36.125,0.009,0.309,0.002,0.267,0.002,0.171,0.653,36.922

6.000,0.002,0.052,0.590,36.715,0.012,0.321,0.001,0.268,0.004,0.175,0.609,37.531

7.000,0.000,0.052,0.815,37.530,0.007,0.328,0.002,0.270,0.002,0.177,0.826,38.357

8.000,0.001,0.053,0.731,38.261,0.004,0.332,0.004,0.274,0.004,0.181,0.744,39.101

9.000,0.000,0.053,0.635,38.896,0.005,0.337,0.007,0.281,0.002,0.183,0.649,39.750

10.000,0.001,0.054,0.668,39.564,0.007,0.344,0.003,0.284,0.002,0.185,0.681,40.431

11.000,0.001,0.055,0.669,40.233,0.003,0.347,0.006,0.290,0.002,0.187,0.681,41.113

12.000,0.000,0.055,0.814,41.047,0.008,0.355,0.006,0.296,0.000,0.187,0.828,41.941

13.000,0.001,0.056,0.727,41.775,0.001,0.356,0.005,0.301,0.003,0.190,0.737,42.678

14.000,0.002,0.058,0.712,42.486,0.005,0.361,0.002,0.303,0.003,0.193,0.724,43.402

15.000,0.001,0.059,0.629,43.115,0.001,0.362,0.003,0.306,0.000,0.193,0.634,44.036

16.000,0.000,0.059,0.804,43.919,0.008,0.370,0.003,0.309,0.003,0.196,0.818,44.854

17.000,0.000,0.059,0.528,44.447,0.005,0.375,0.005,0.314,0.003,0.199,0.542,45.395

18.000,0.001,0.060,0.554,45.001,0.003,0.378,0.006,0.321,0.001,0.200,0.565,45.960

19.000,0.000,0.060,0.648,45.649,0.003,0.381,0.002,0.323,0.006,0.206,0.659,46.619

20.000,0.002,0.062,0.739,46.388,0.003,0.384,0.006,0.329,0.002,0.208,0.752,47.371

21.000,0.001,0.063,0.811,47.199,0.005,0.389,0.002,0.331,0.004,0.212,0.823,48.194

22.000,0.000,0.063,0.583,47.781,0.007,0.396,0.006,0.337,0.002,0.214,0.597,48.792

23.000,0.002,0.065,0.737,48.519,0.003,0.399,0.004,0.341,0.001,0.215,0.747,49.539

24.000,0.002,0.067,0.859,49.378,0.009,0.409,0.002,0.343,0.004,0.219,0.876,50.416

25.000,0.000,0.067,0.630,50.008,0.006,0.415,0.002,0.345,0.002,0.221,0.640,51.056

26.000,0.004,0.071,0.700,50.708,0.003,0.418,0.003,0.348,0.002,0.224,0.712,51.768

27.000,0.003,0.074,0.718,51.426,0.002,0.420,0.002,0.350,0.001,0.225,0.726,52.494

28.000,0.001,0.075,0.670,52.096,0.002,0.422,0.005,0.355,0.004,0.229,0.682,53.176

29.000,0.001,0.076,0.753,52.848,0.006,0.428,0.005,0.360,0.002,0.231,0.767,53.943

30.000,0.000,0.076,0.657,53.505,0.004,0.432,0.001,0.361,0.005,0.236,0.667,54.609

31.000,0.001,0.077,0.682,54.187,0.004,0.436,0.004,0.365,0.003,0.239,0.694,55.304

32.000,0.002,0.079,0.639,54.827,0.004,0.440,0.007,0.372,0.003,0.242,0.655,55.959

33.000,0.000,0.079,0.652,55.478,0.004,0.444,0.004,0.376,0.003,0.245,0.663,56.622

34.000,0.000,0.079,0.681,56.159,0.001,0.445,0.002,0.378,0.006,0.251,0.690,57.311

35.000,0.002,0.081,0.514,56.673,0.003,0.448,0.002,0.380,0.003,0.254,0.524,57.836

36.000,0.000,0.081,0.679,57.352,0.005,0.453,0.003,0.383,0.004,0.258,0.691,58.526

37.000,0.000,0.081,0.842,58.194,0.010,0.463,0.003,0.386,0.004,0.262,0.859,59.385

38.000,0.001,0.082,0.641,58.835,0.005,0.468,0.007,0.393,0.001,0.263,0.655,60.040

39.000,0.002,0.084,0.667,59.502,0.001,0.469,0.003,0.396,0.003,0.266,0.676,60.717

40.000,0.001,0.085,0.717,60.219,0.001,0.470,0.006,0.402,0.002,0.268,0.727,61.444

41.000,0.000,0.085,0.910,61.129,0.005,0.475,0.010,0.412,0.001,0.269,0.926,62.370

42.000,0.004,0.089,0.544,61.674,0.004,0.479,0.002,0.414,0.001,0.270,0.556,62.925

43.000,0.000,0.089,0.766,62.439,0.002,0.481,0.003,0.417,0.004,0.274,0.775,63.700

44.000,0.002,0.091,0.701,63.141,0.004,0.485,0.002,0.419,0.002,0.276,0.711,64.411

45.000,0.002,0.093,0.801,63.942,0.005,0.490,0.003,0.422,0.003,0.279,0.814,65.225

46.000,0.002,0.095,0.751,64.693,0.002,0.492,0.003,0.425,0.004,0.283,0.762,65.987

47.000,0.000,0.095,0.721,65.414,0.000,0.492,0.004,0.429,0.004,0.287,0.729,66.716

48.000,0.000,0.095,0.687,66.101,0.002,0.494,0.004,0.433,0.001,0.288,0.694,67.411

49.000,0.002,0.097,0.689,66.789,0.002,0.496,0.003,0.436,0.005,0.293,0.701,68.111

50.000,0.003,0.100,0.745,67.535,0.002,0.498,0.003,0.439,0.002,0.295,0.755,68.867

51.000,0.001,0.101,0.807,68.341,0.004,0.502,0.006,0.445,0.002,0.297,0.820,69.687

