0.000,0.000,3.509,0.000,164.083,0.000,0.084,0.000,167.677

lap,curlap_eval,alllaps_eval,curlap_localexpansion,alllaps_localexpansion,curlap_plan,alllaps_plan,curlap_total,alllaps_total
1.000,0.000,3.509,0.000,164.083,0.001,0.085,0.001,167.678

2.000,0.000,3.509,0.000,164.083,0.001,0.086,0.001,167.679

3.000,0.000,3.509,0.000,164.083,0.001,0.087,0.001,167.680

4.000,0.051,3.561,5.247,169.330,0.002,0.089,5.300,172.980

5.000,0.059,3.620,5.378,174.708,0.001,0.090,5.438,178.418

6.000,0.065,3.685,4.744,179.452,0.001,0.091,4.810,183.228

7.000,0.096,3.781,5.302,184.754,0.002,0.093,5.400,188.628

8.000,0.079,3.860,5.703,190.457,0.001,0.094,5.783,194.412

9.000,0.061,3.920,4.566,195.023,0.002,0.096,4.628,199.040

10.000,0.097,4.017,5.797,200.820,0.002,0.098,5.896,204.936

11.000,0.048,4.065,4.729,205.549,0.003,0.101,4.781,209.716

12.000,0.086,4.152,6.339,211.888,0.001,0.102,6.426,216.142

13.000,0.078,4.230,5.059,216.947,0.001,0.103,5.138,221.281

14.000,0.100,4.329,5.377,222.325,0.001,0.104,5.478,226.758

15.000,0.065,4.395,5.105,227.429,0.002,0.107,5.172,231.931

16.000,0.087,4.482,6.222,233.651,0.001,0.108,6.310,238.240

17.000,0.086,4.568,4.815,238.466,0.001,0.109,4.902,243.142

18.000,0.092,4.660,5.217,243.683,0.002,0.111,5.311,248.454

19.000,0.105,4.765,4.916,248.599,0.001,0.112,5.022,253.475

20.000,0.079,4.843,5.502,254.101,0.001,0.113,5.582,259.057

21.000,0.065,4.908,6.373,260.474,0.001,0.114,6.439,265.496

22.000,0.110,5.018,4.680,265.154,0.004,0.118,4.794,270.290

23.000,0.075,5.093,5.290,270.444,0.002,0.120,5.366,275.656

24.000,0.058,5.151,4.711,275.154,0.002,0.122,4.771,280.427

25.000,0.085,5.236,4.906,280.061,0.002,0.124,4.994,285.421

26.000,0.090,5.327,4.781,284.842,0.004,0.128,4.876,290.297

27.000,0.071,5.398,5.285,290.128,0.002,0.130,5.358,295.655

28.000,0.101,5.498,4.874,295.001,0.001,0.131,4.975,300.630

